Msetup: 0.044900, Ma+f: 61.601233, Msolve: 0.092356, Mverify: 0.004969, FGMRES: 0.018771, BLR: 1.000000e-10, rr: 0.000001
Msetup: 0.024591, Ma+f: 54.049499, Msolve: 0.081080, Mverify: 0.005038, FGMRES: 0.016856, BLR: 1.000000e-10, rr: 0.000001

Msetup: 0.030706, Ma+f: 62.673462, Msolve: 0.108065, Mverify: 0.004872, FGMRES: 0.019743, BLR: 1.000000e-09, rr: 0.000001
Msetup: 0.025352, Ma+f: 54.941477, Msolve: 0.075191, Mverify: 0.004848, FGMRES: 0.015988, BLR: 1.000000e-09, rr: 0.000001
Msetup: 0.026699, Ma+f: 58.721189, Msolve: 0.088746, Mverify: 0.012166, FGMRES: 0.019263, BLR: 1.000000e-09, rr: 0.000001
Msetup: 0.028235, Ma+f: 63.760406, Msolve: 0.148599, Mverify: 0.014907, FGMRES: 0.042266, BLR: 1.000000e-09, rr: 0.000001
Msetup: 0.029470, Ma+f: 58.979810, Msolve: 0.091011, Mverify: 0.004857, FGMRES: 0.016063, BLR: 1.000000e-09, rr: 0.000001

Msetup: 0.028180, Ma+f: 50.709860, Msolve: 0.080150, Mverify: 0.004869, FGMRES: 0.016834, BLR: 1.000000e-08, rr: 0.000001
Msetup: 0.025650, Ma+f: 61.026259, Msolve: 0.088034, Mverify: 0.004481, FGMRES: 0.015662, BLR: 1.000000e-08, rr: 0.000001
Msetup: 0.060588, Ma+f: 64.297454, Msolve: 0.084443, Mverify: 0.004912, FGMRES: 0.019811, BLR: 1.000000e-08, rr: 0.000001
Msetup: 0.025467, Ma+f: 62.959594, Msolve: 0.098229, Mverify: 0.004729, FGMRES: 0.016247, BLR: 1.000000e-08, rr: 0.000001
Msetup: 0.024776, Ma+f: 63.458532, Msolve: 0.107032, Mverify: 0.005055, FGMRES: 0.017007, BLR: 1.000000e-08, rr: 0.000001

Msetup: 0.064252, Ma+f: 65.931940, Msolve: 0.145947, Mverify: 0.012490, FGMRES: 0.062838, BLR: 1.000000e-07, rr: 0.000001
Msetup: 0.109833, Ma+f: 78.584572, Msolve: 0.167652, Mverify: 0.013694, FGMRES: 0.053458, BLR: 1.000000e-07, rr: 0.000001
Msetup: 0.025958, Ma+f: 61.289393, Msolve: 0.178001, Mverify: 0.005774, FGMRES: 0.020455, BLR: 1.000000e-07, rr: 0.000001
Msetup: 0.053381, Ma+f: 65.610964, Msolve: 0.193761, Mverify: 0.007695, FGMRES: 0.021518, BLR: 1.000000e-07, rr: 0.000001
Msetup: 0.029298, Ma+f: 64.425510, Msolve: 0.149713, Mverify: 0.005517, FGMRES: 0.020836, BLR: 1.000000e-07, rr: 0.000001

Msetup: 0.056458, Ma+f: 64.493294, Msolve: 0.153925, Mverify: 0.012589, FGMRES: 0.057906, BLR: 1.000000e-06, rr: 0.000001
Msetup: 0.056803, Ma+f: 62.910779, Msolve: 0.164376, Mverify: 0.011651, FGMRES: 0.051807, BLR: 1.000000e-06, rr: 0.000001
Msetup: 0.027570, Ma+f: 63.529947, Msolve: 0.150138, Mverify: 0.005634, FGMRES: 0.022345, BLR: 1.000000e-06, rr: 0.000001
