Msetup: 0.003172, Ma+f: 2.446537, Msolve: 0.013039, Mverify: 0.000943, FGMRES: 0.002469, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.149541, no_processes: 16
Msetup: 0.003219, Ma+f: 3.057612, Msolve: 0.017163, Mverify: 0.001812, FGMRES: 0.002457, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.124053, no_processes: 16
Msetup: 0.003914, Ma+f: 2.575425, Msolve: 0.013663, Mverify: 0.000921, FGMRES: 0.002463, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.126387, no_processes: 16
Msetup: 0.003160, Ma+f: 2.455700, Msolve: 0.011484, Mverify: 0.000945, FGMRES: 0.002407, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.144343, no_processes: 16
Msetup: 0.003260, Ma+f: 3.024680, Msolve: 0.015667, Mverify: 0.000938, FGMRES: 0.002387, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.125011, no_processes: 16
Msetup: 0.003387, Ma+f: 3.329492, Msolve: 0.014288, Mverify: 0.000956, FGMRES: 0.002446, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.123176, no_processes: 16
Msetup: 0.003218, Ma+f: 3.263753, Msolve: 0.014918, Mverify: 0.000925, FGMRES: 0.002484, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.124522, no_processes: 16
Msetup: 0.003265, Ma+f: 2.566480, Msolve: 0.012695, Mverify: 0.000935, FGMRES: 0.002394, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.146757, no_processes: 16
Msetup: 0.003129, Ma+f: 2.658765, Msolve: 0.012887, Mverify: 0.000958, FGMRES: 0.002426, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.143064, no_processes: 16
Msetup: 0.003287, Ma+f: 3.259865, Msolve: 0.014367, Mverify: 0.003829, FGMRES: 0.002578, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.124396, no_processes: 16
Msetup: 0.005329, Ma+f: 2.930260, Msolve: 0.017792, Mverify: 0.001752, FGMRES: 0.004445, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.757275, no_processes: 8
Msetup: 0.005376, Ma+f: 2.930047, Msolve: 0.013296, Mverify: 0.001732, FGMRES: 0.004391, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.755215, no_processes: 8
Msetup: 0.005320, Ma+f: 2.970832, Msolve: 0.020736, Mverify: 0.001778, FGMRES: 0.004491, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005310, Ma+f: 2.899178, Msolve: 0.015877, Mverify: 0.001796, FGMRES: 0.004466, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005370, Ma+f: 2.969994, Msolve: 0.014819, Mverify: 0.001736, FGMRES: 0.004413, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005322, Ma+f: 2.927241, Msolve: 0.014768, Mverify: 0.001748, FGMRES: 0.004398, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005309, Ma+f: 2.939680, Msolve: 0.014784, Mverify: 0.001738, FGMRES: 0.004693, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005485, Ma+f: 2.939613, Msolve: 0.022579, Mverify: 0.001732, FGMRES: 0.004476, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.758956, no_processes: 8
Msetup: 0.005416, Ma+f: 2.876152, Msolve: 0.015133, Mverify: 0.001766, FGMRES: 0.004462, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.624974, no_processes: 8
Msetup: 0.005354, Ma+f: 2.891538, Msolve: 0.015312, Mverify: 0.001730, FGMRES: 0.004534, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.758956, no_processes: 8
Msetup: 0.010021, Ma+f: 7.290114, Msolve: 0.025872, Mverify: 0.002970, FGMRES: 0.009385, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617555, no_processes: 4
Msetup: 0.009795, Ma+f: 7.050393, Msolve: 0.026292, Mverify: 0.002384, FGMRES: 0.008889, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617571, no_processes: 4
Msetup: 0.009847, Ma+f: 7.143528, Msolve: 0.024041, Mverify: 0.002908, FGMRES: 0.009289, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617567, no_processes: 4
Msetup: 0.010102, Ma+f: 7.062799, Msolve: 0.024730, Mverify: 0.002892, FGMRES: 0.009056, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617569, no_processes: 4
Msetup: 0.009916, Ma+f: 7.179568, Msolve: 0.023652, Mverify: 0.002900, FGMRES: 0.008644, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617567, no_processes: 4
Msetup: 0.009846, Ma+f: 7.269314, Msolve: 0.025921, Mverify: 0.002920, FGMRES: 0.008994, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617556, no_processes: 4
Msetup: 0.009854, Ma+f: 7.272391, Msolve: 0.023544, Mverify: 0.002897, FGMRES: 0.009183, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617556, no_processes: 4
Msetup: 0.009886, Ma+f: 7.080023, Msolve: 0.023959, Mverify: 0.002891, FGMRES: 0.009172, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617567, no_processes: 4
Msetup: 0.010073, Ma+f: 7.019193, Msolve: 0.023813, Mverify: 0.002894, FGMRES: 0.011988, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617571, no_processes: 4
Msetup: 0.010034, Ma+f: 7.130631, Msolve: 0.023726, Mverify: 0.002889, FGMRES: 0.009263, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.617567, no_processes: 4
Msetup: 0.021194, Ma+f: 7.051169, Msolve: 0.030976, Mverify: 0.005003, FGMRES: 0.017270, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.130059, no_processes: 2
Msetup: 0.018781, Ma+f: 6.918921, Msolve: 0.027126, Mverify: 0.004525, FGMRES: 0.017047, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018554, Ma+f: 6.850014, Msolve: 0.027753, Mverify: 0.005027, FGMRES: 0.017505, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018412, Ma+f: 6.782236, Msolve: 0.028963, Mverify: 0.004580, FGMRES: 0.016698, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.019737, Ma+f: 6.788790, Msolve: 0.030201, Mverify: 0.005397, FGMRES: 0.022331, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018501, Ma+f: 6.860587, Msolve: 0.028478, Mverify: 0.004612, FGMRES: 0.017550, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018440, Ma+f: 6.853699, Msolve: 0.027203, Mverify: 0.005073, FGMRES: 0.017318, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018425, Ma+f: 7.383038, Msolve: 0.032097, Mverify: 0.004592, FGMRES: 0.017008, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.133229, no_processes: 2
Msetup: 0.018430, Ma+f: 6.753192, Msolve: 0.031293, Mverify: 0.005089, FGMRES: 0.017970, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
Msetup: 0.018405, Ma+f: 6.807972, Msolve: 0.027168, Mverify: 0.004616, FGMRES: 0.016915, FGMRES_iter: 5, BLR: 1.000000e-02, rr: 0.129575, no_processes: 2
